,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,type,subtype,bedroomCount,bathroomCount,province,locality,postCode,habitableSurface,roomCount,hasAttic,hasBasement,hasDressingRoom,diningRoomSurface,hasDiningRoom,buildingCondition,buildingConstructionYear,facedeCount,floorCount,streetFacadeWidth,hasLift,floodZoneType,heatingType,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,kitchenSurface,kitchenType,landSurface,hasLivingRoom,livingRoomSurface,hasGarden,gardenSurface,gardenOrientation,parkingCountIndoor,parkingCountOutdoor,hasAirConditioning,hasArmoredDoor,hasVisiophone,hasOffice,toiletCount,hasSwimmingPool,hasFireplace,hasTerrace,terraceSurface,terraceOrientation,epcScore,price,longitude,latitude,error_sum
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20647642,2,2,4.0,2.0,5,1,1040,270.0,12.0,1,1,-1,-1.0,1,2,1910.0,2.0,3.0,5.0,-1,1,2,-1,-1,-1,6.0,2,209.0,1,55.0,1,100.0,1,-1.0,-1.0,-1,-1,-1,1,3.0,-1,-1,1,1.0,0,2,895000.0,4.4049959,50.8459876,146245.625
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,20634658,1,4,3.0,2.0,5,1,1040,220.0,-1.0,-1,1,-1,-1.0,-1,4,2023.0,2.0,5.0,-1.0,1,1,1,-1,-1,-1,-1.0,3,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,1,4.0,-1,-1,1,25.0,1,5,950000.0,4.4003717,50.8376649,131127.125
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,20634657,1,4,3.0,2.0,5,1,1040,220.0,-1.0,-1,1,-1,-1.0,-1,4,2023.0,2.0,5.0,-1.0,1,1,1,-1,-1,-1,-1.0,3,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,1,4.0,-1,-1,1,25.0,1,5,950000.0,4.4003717,50.8376649,145463.25
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,20634655,1,4,2.0,1.0,5,1,1040,187.0,-1.0,-1,-1,-1,-1.0,-1,3,2023.0,-1.0,5.0,-1.0,1,1,1,-1,-1,-1,-1.0,3,-1.0,-1,-1.0,-1,-1.0,0,-1.0,1.0,-1,-1,1,1,2.0,-1,-1,1,25.0,1,1,795000.0,4.4003717,50.8376649,137222.8125
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,20653897,1,5,2.0,1.0,5,1,1040,137.0,-1.0,-1,1,-1,-1.0,-1,3,2024.0,2.0,4.0,-1.0,1,1,0,-1,-1,-1,-1.0,3,-1.0,1,56.0,-1,-1.0,0,-1.0,-1.0,-1,1,1,-1,1.0,-1,-1,1,37.0,0,4,735000.0,4.4060496,50.8361078,137207.25
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,20638164,1,5,3.0,1.0,5,1,1040,198.0,-1.0,-1,-1,-1,-1.0,-1,3,1912.0,3.0,5.0,-1.0,1,1,1,-1,-1,-1,20.0,3,-1.0,1,60.0,-1,-1.0,0,-1.0,-1.0,-1,1,1,-1,3.0,-1,-1,1,18.0,0,4,995000.0,4.4003717,50.8376649,257455.4375
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,20634202,1,5,3.0,2.0,5,1,1040,220.0,-1.0,-1,-1,-1,-1.0,-1,3,1912.0,3.0,5.0,-1.0,1,1,1,-1,-1,-1,12.0,3,-1.0,1,45.0,-1,-1.0,0,-1.0,-1.0,-1,1,1,-1,3.0,-1,-1,1,25.0,0,1,950000.0,4.4003717,50.8376649,122295.8125
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,24,20634332,1,1,3.0,2.0,5,1,1040,198.0,-1.0,-1,1,-1,25.0,1,0,1912.0,2.0,4.0,-1.0,1,0,1,-1,-1,-1,-1.0,5,-1.0,1,45.0,-1,-1.0,0,1.0,-1.0,-1,-1,-1,-1,3.0,-1,-1,1,45.0,1,4,995000.0,4.3986309,50.8389003,210476.375
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,26,20635102,1,4,3.0,1.0,5,1,1040,198.0,-1.0,-1,1,-1,-1.0,-1,3,2023.0,-1.0,5.0,-1.0,1,0,1,-1,-1,-1,-1.0,3,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,1,-1,-1,3.0,-1,-1,1,42.0,0,4,995000.0,4.4003717,50.8376649,295520.8125
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,31,20645280,1,1,2.0,2.0,5,1,1040,155.0,4.0,-1,1,1,-1.0,1,4,1961.0,2.0,8.0,-1.0,1,1,1,-1,-1,-1,25.0,3,-1.0,1,40.0,-1,-1.0,0,1.0,1.0,-1,1,1,-1,-1.0,-1,-1,1,6.0,4,1,900000.0,4.406109799999999,50.8333828,300736.5
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,32,20622549,1,1,1.0,1.0,5,1,1040,80.0,-1.0,-1,-1,-1,-1.0,-1,5,1909.0,2.0,3.0,-1.0,-1,1,1,-1,-1,-1,16.0,2,-1.0,1,30.0,1,50.0,0,-1.0,-1.0,-1,-1,1,1,1.0,-1,-1,1,12.0,5,3,230000.0,4.381315400000001,50.82936979999999,-154799.34375
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,42,20629025,1,1,1.0,1.0,5,1,1040,75.0,-1.0,-1,-1,-1,-1.0,-1,3,1977.0,2.0,8.0,-1.0,1,1,1,-1,-1,-1,6.0,3,-1.0,1,30.0,-1,-1.0,0,-1.0,-1.0,-1,1,1,-1,1.0,-1,-1,1,3.0,6,5,255000.0,4.402046299999999,50.8295454,-113071.984375
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,43,20634654,1,4,3.0,1.0,5,1,1040,198.0,-1.0,-1,1,-1,-1.0,-1,3,2023.0,-1.0,5.0,-1.0,1,0,1,-1,-1,-1,-1.0,3,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,1,-1,-1,3.0,-1,-1,1,42.0,0,4,995000.0,4.4003717,50.8376649,287333.1875
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,45,20634334,1,1,2.0,2.0,5,1,1040,220.0,-1.0,-1,1,-1,-1.0,1,0,-1.0,2.0,5.0,-1.0,1,0,1,-1,-1,-1,-1.0,5,-1.0,1,45.0,-1,-1.0,0,1.0,-1.0,-1,-1,-1,1,3.0,-1,-1,1,25.0,0,1,950000.0,4.3986309,50.8389003,184683.1875
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,46,20452787,1,1,2.0,2.0,5,1,1040,115.0,-1.0,-1,1,-1,20.0,1,2,1933.0,3.0,7.0,-1.0,1,1,1,-1,-1,-1,10.0,3,-1.0,1,20.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,-1,2.0,-1,-1,1,5.0,0,1,395000.0,4.400237,50.8283543,-120687.5
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,54,20320505,1,1,3.0,2.0,5,3,1040,220.0,-1.0,-1,1,-1,-1.0,-1,4,-1.0,-1.0,4.0,-1.0,1,0,1,-1,-1,-1,-1.0,3,-1.0,1,60.0,-1,-1.0,0,1.0,-1.0,-1,-1,-1,-1,3.0,-1,-1,1,25.0,0,1,950000.0,4.4003717,50.8376649,165251.9375
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,59,20592853,2,2,6.0,3.0,5,1,1040,280.0,-1.0,-1,1,-1,1.0,1,1,-1.0,2.0,3.0,6.5,-1,0,1,-1,-1,-1,11.0,3,175.0,1,48.0,1,60.0,0,1.0,-1.0,-1,-1,1,1,3.0,-1,-1,1,-1.0,7,5,895000.0,4.410235999999999,50.83228039999999,107530.75
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,64,20645043,1,1,2.0,2.0,5,1,1040,155.0,-1.0,-1,1,-1,-1.0,-1,4,1961.0,2.0,8.0,-1.0,1,1,1,-1,-1,-1,25.0,3,-1.0,1,40.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,-1,3.0,-1,-1,1,-1.0,0,1,900000.0,-1.0,-1.0,217334.75
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,65,20316000,1,5,3.0,3.0,5,3,1040,198.0,-1.0,-1,1,-1,-1.0,-1,4,-1.0,-1.0,5.0,-1.0,1,0,1,-1,-1,-1,-1.0,0,-1.0,1,70.0,-1,-1.0,0,2.0,-1.0,-1,-1,1,-1,3.0,-1,-1,1,42.0,0,4,995000.0,4.4003717,50.8376649,137049.1875
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,67,20462258,1,5,3.0,3.0,5,1,1040,220.0,-1.0,-1,1,-1,-1.0,1,4,-1.0,2.0,4.0,-1.0,1,1,0,-1,-1,-1,10.0,3,-1.0,1,60.0,-1,-1.0,0,35.0,-1.0,-1,-1,1,-1,3.0,-1,-1,1,25.0,0,1,950000.0,4.4003717,50.8376649,106999.4375
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,68,20462260,1,5,3.0,3.0,5,1,1040,198.0,-1.0,-1,1,-1,-1.0,1,4,-1.0,2.0,4.0,-1.0,1,1,0,-1,-1,-1,18.0,3,-1.0,1,70.0,-1,-1.0,0,35.0,-1.0,-1,-1,1,-1,2.0,-1,-1,1,64.0,0,4,995000.0,4.4003717,50.8376649,193484.8125
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,69,20646622,1,1,2.0,2.0,5,1,1040,155.0,-1.0,-1,1,-1,-1.0,-1,4,1961.0,2.0,7.0,-1.0,1,1,0,-1,-1,-1,15.0,3,-1.0,1,35.0,-1,-1.0,0,1.0,-1.0,-1,-1,1,-1,1.0,-1,-1,1,5.0,4,1,900000.0,-1.0,-1.0,353235.875
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,74,20328906,1,5,2.0,1.0,5,1,1040,187.0,-1.0,-1,-1,-1,-1.0,-1,4,1912.0,3.0,5.0,-1.0,1,1,1,-1,-1,-1,10.0,3,-1.0,1,70.0,-1,-1.0,0,-1.0,-1.0,-1,1,1,1,3.0,-1,-1,1,25.0,0,1,875000.0,4.4003717,50.8376649,152305.3125
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,81,20644692,1,4,3.0,2.0,5,2,1040,130.0,2.0,-1,1,-1,-1.0,-1,4,1910.0,2.0,4.0,6.0,-1,1,1,-1,-1,-1,-1.0,0,-1.0,-1,-1.0,1,70.0,3,-1.0,-1.0,-1,-1,1,-1,2.0,-1,-1,-1,-1.0,0,1,729000.0,4.3880896,50.8482219,174221.75
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,89,20510837,2,2,7.0,3.0,5,4,1040,340.0,-1.0,-1,1,-1,20.0,1,5,1898.0,2.0,6.0,6.0,-1,1,1,-1,-1,-1,10.0,2,185.0,1,30.0,1,80.0,0,-1.0,-1.0,-1,-1,1,-1,3.0,-1,-1,1,40.0,0,6,985000.0,-1.0,-1.0,328906.5
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,95,20642360,1,5,3.0,3.0,5,1,1040,206.0,-1.0,-1,-1,-1,-1.0,-1,0,1912.0,3.0,5.0,-1.0,1,0,1,-1,-1,-1,-1.0,3,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,-1,4.0,-1,-1,1,25.0,1,1,950000.0,-1.0,-1.0,133806.0
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,96,20564099,2,2,6.0,1.0,5,5,1040,212.0,-1.0,-1,1,-1,-1.0,-1,0,1899.0,2.0,-1.0,-1.0,-1,1,2,-1,-1,-1,13.0,0,75.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,0,6,695000.0,4.388938599999999,50.8372222,136620.625
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100,20613033,1,1,3.0,2.0,5,1,1040,142.0,-1.0,-1,1,-1,-1.0,-1,1,1966.0,2.0,7.0,-1.0,1,0,1,-1,-1,-1,5.0,2,-1.0,1,30.0,-1,-1.0,0,1.0,-1.0,-1,-1,1,-1,2.0,-1,-1,1,9.0,1,6,420000.0,-1.0,-1.0,-142671.78125
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,105,20642358,1,5,3.0,3.0,5,1,1040,198.0,-1.0,-1,-1,-1,-1.0,-1,0,1912.0,3.0,5.0,-1.0,1,0,1,-1,-1,-1,-1.0,3,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,-1,3.0,-1,-1,1,42.0,1,4,995000.0,-1.0,-1.0,136869.6875
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,111,20232353,1,4,3.0,3.0,5,1,1040,198.0,-1.0,-1,1,-1,-1.0,-1,3,1912.0,2.0,4.0,-1.0,1,2,1,-1,-1,-1,-1.0,3,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,1,1,-1,3.0,-1,-1,1,42.0,3,1,995000.0,-1.0,-1.0,205592.8125
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,115,20531942,2,7,6.0,3.0,5,1,1040,300.0,-1.0,-1,1,-1,13.0,1,5,1895.0,2.0,3.0,5.6,-1,1,1,-1,-1,-1,8.0,2,180.0,1,31.0,1,103.0,0,-1.0,-1.0,-1,-1,-1,-1,3.0,-1,-1,1,30.0,1,6,985000.0,-1.0,-1.0,271641.75
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,120,20090213,2,2,3.0,1.0,5,1,1040,169.0,-1.0,-1,1,-1,16.0,1,2,1899.0,2.0,-1.0,-1.0,-1,0,1,-1,-1,-1,13.0,2,135.0,1,14.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,2.0,-1,-1,1,-1.0,0,6,599000.0,4.3964473,50.8432369,129715.09375
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,121,20651758,1,5,2.0,1.0,5,1,1040,137.0,-1.0,-1,-1,-1,-1.0,-1,3,-1.0,3.0,4.0,-1.0,1,1,1,-1,-1,-1,-1.0,3,-1.0,1,56.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,2.0,-1,-1,1,-1.0,0,0,800000.0,-1.0,-1.0,260141.6875
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,127,20646990,1,1,2.0,1.0,5,3,1040,145.0,-1.0,-1,1,-1,-1.0,-1,4,1961.0,2.0,8.0,-1.0,1,0,1,-1,-1,-1,-1.0,2,-1.0,1,47.0,-1,-1.0,0,1.0,-1.0,-1,-1,1,-1,3.0,-1,-1,-1,-1.0,0,1,900000.0,-1.0,-1.0,356949.25
93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,129,20579344,2,2,3.0,1.0,5,1,1040,189.0,-1.0,-1,-1,-1,60.0,1,3,2015.0,2.0,-1.0,6.7,-1,0,0,-1,-1,-1,10.0,2,110.0,1,58.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,2.0,-1,-1,1,30.0,1,2,499000.0,-1.0,-1.0,-109021.71875
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,141,11072981,1,1,2.0,-1.0,5,1,1040,115.0,-1.0,-1,-1,-1,-1.0,-1,0,-1.0,-1.0,-1.0,-1.0,-1,0,0,-1,-1,-1,-1.0,0,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,0,7,690000.0,4.413334499999999,50.8358174,207202.15625
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,142,11073100,1,1,3.0,-1.0,5,1,1040,135.0,-1.0,-1,-1,-1,-1.0,-1,0,-1.0,-1.0,-1.0,-1.0,-1,0,0,-1,-1,-1,-1.0,0,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,0,7,745000.0,4.413334499999999,50.8358174,213238.9375
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,143,20419577,1,4,1.0,1.0,5,3,1040,132.0,-1.0,-1,-1,-1,11.0,1,0,-1.0,-1.0,5.0,-1.0,-1,0,0,-1,-1,-1,7.0,0,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1,-1,1,-1.0,0,2,515000.0,-1.0,-1.0,144322.5625
103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,150,20210010,1,1,3.0,2.0,5,3,1040,170.0,-1.0,-1,-1,-1,-1.0,-1,0,-1.0,-1.0,4.0,7.0,-1,0,1,-1,-1,-1,-1.0,0,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,3.0,-1,-1,1,17.0,0,6,445000.0,-1.0,-1.0,-152298.3125
112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,176,20264524,1,5,2.0,2.0,5,1,1040,95.0,-1.0,-1,1,-1,-1.0,-1,1,2014.0,2.0,4.0,6.0,-1,1,1,-1,-1,-1,8.0,3,-1.0,1,42.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,1,2.0,-1,-1,1,9.0,3,4,399000.0,4.394788699999999,50.8281589,-113836.15625
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,178,20646418,1,1,2.0,1.0,5,3,1040,145.0,-1.0,-1,1,-1,-1.0,-1,0,1961.0,2.0,7.0,-1.0,1,0,0,-1,-1,-1,-1.0,0,-1.0,1,47.0,-1,-1.0,0,1.0,-1.0,-1,-1,-1,-1,3.0,-1,-1,1,10.0,0,1,900000.0,-1.0,-1.0,414240.125
118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,182,20636024,1,4,3.0,3.0,5,1,1040,220.0,-1.0,-1,-1,-1,-1.0,-1,3,1910.0,2.0,-1.0,-1.0,-1,0,0,-1,-1,-1,-1.0,0,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1,-1,1,-1.0,0,1,950000.0,4.4003717,50.8376649,289543.5625
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,183,20636025,1,5,3.0,3.0,5,1,1040,198.0,-1.0,-1,-1,-1,-1.0,-1,3,1910.0,2.0,4.0,-1.0,-1,0,0,-1,-1,-1,-1.0,0,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1,-1,1,-1.0,0,4,995000.0,4.4003717,50.8376649,342508.6875
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,203,20653658,2,7,5.0,-1.0,5,1,1040,370.0,-1.0,-1,-1,-1,-1.0,-1,5,1898.0,2.0,3.0,-1.0,-1,0,0,-1,-1,-1,-1.0,0,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,0,6,985000.0,-1.0,-1.0,538542.4375
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,225,20505221,2,2,6.0,1.0,5,1,1040,260.0,-1.0,-1,-1,-1,-1.0,-1,5,1909.0,2.0,3.0,-1.0,-1,1,2,-1,-1,-1,9.0,4,179.0,-1,-1.0,1,75.0,0,-1.0,-1.0,-1,-1,-1,-1,2.0,-1,-1,-1,-1.0,0,6,675000.0,4.3949092,50.8358538,130703.6875
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,235,20551427,1,3,1.0,1.0,5,1,1040,48.0,-1.0,-1,1,-1,-1.0,-1,1,1935.0,2.0,3.0,-1.0,-1,1,1,-1,-1,-1,8.0,3,-1.0,1,27.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,-1,1.0,-1,-1,1,5.0,2,6,185000.0,4.40048,50.8294125,-121785.265625
160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,237,20311780,2,2,5.0,2.0,5,1,1040,270.0,-1.0,-1,1,-1,35.0,1,2,-1.0,2.0,3.0,6.5,-1,0,2,-1,-1,-1,8.0,3,104.0,1,35.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,1,2.0,-1,-1,1,10.0,0,6,495000.0,4.381994,50.8322379,-258703.875
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,255,11482943,1,1,3.0,-1.0,5,1,1040,200.0,13.0,1,1,-1,25.0,1,1,-1.0,2.0,7.0,-1.0,1,0,1,-1,-1,-1,18.0,3,-1.0,1,42.0,-1,-1.0,0,-1.0,-1.0,-1,1,1,-1,2.0,-1,-1,-1,-1.0,0,5,770000.0,4.4000946,50.8394345,210030.0625
187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,277,11399954,2,2,6.0,-1.0,5,3,1040,225.0,-1.0,1,1,-1,-1.0,-1,2,1900.0,2.0,3.0,-1.0,-1,0,1,-1,-1,-1,-1.0,2,160.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,4.0,-1,-1,-1,-1.0,0,0,709000.0,-1.0,-1.0,117191.375
192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,287,20522024,1,1,1.0,1.0,5,1,1040,56.0,-1.0,-1,-1,-1,-1.0,-1,1,-1.0,-1.0,-1.0,-1.0,1,0,0,-1,-1,-1,-1.0,0,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,-1,1.0,-1,-1,1,15.0,0,6,180000.0,-1.0,-1.0,-108411.296875
193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,288,20025486,1,1,3.0,2.0,5,1,1040,217.0,-1.0,-1,1,-1,-1.0,-1,0,-1.0,2.0,6.0,-1.0,1,0,0,-1,-1,-1,-1.0,0,-1.0,-1,-1.0,-1,-1.0,0,1.0,-1.0,-1,1,1,-1,-1.0,-1,-1,-1,-1.0,0,2,830000.0,4.4000946,50.8394345,131102.9375
194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,289,20161137,2,8,5.0,2.0,5,1,1040,325.0,-1.0,-1,-1,-1,-1.0,-1,2,-1.0,2.0,2.0,-1.0,-1,0,0,-1,-1,-1,-1.0,0,340.0,-1,-1.0,1,205.0,0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1,-1,1,5.0,0,6,935000.0,-1.0,-1.0,221180.125
206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,304,20654054,1,4,2.0,2.0,5,7,1020,125.0,-1.0,-1,1,-1,-1.0,-1,2,1980.0,3.0,3.0,-1.0,1,0,3,-1,-1,-1,13.0,2,-1.0,1,38.0,-1,-1.0,0,1.0,1.0,-1,-1,1,-1,2.0,-1,-1,1,11.0,5,6,299000.0,4.3673689,50.8990888,-142587.71875
208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,306,20583166,1,4,3.0,2.0,5,7,1020,140.0,-1.0,-1,1,-1,-1.0,-1,2,1979.0,3.0,3.0,-1.0,1,1,3,-1,-1,-1,12.0,2,-1.0,1,40.0,-1,-1.0,0,1.0,1.0,-1,1,1,1,1.0,-1,-1,1,13.0,2,6,299000.0,4.3670398,50.8989653,-198114.21875
210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,309,20655867,2,2,4.0,1.0,5,2,1020,372.0,-1.0,-1,1,-1,14.0,1,2,1899.0,2.0,3.0,-1.0,-1,0,1,-1,-1,-1,9.0,4,-1.0,1,43.0,1,335.0,0,-1.0,-1.0,-1,-1,-1,1,1.0,-1,-1,1,-1.0,0,3,630000.0,4.350687499999999,50.8776868,110043.0625
212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,311,20567262,2,12,4.0,2.0,5,2,1020,190.0,5.0,-1,1,-1,-1.0,-1,4,2011.0,4.0,2.0,30.0,-1,1,1,-1,-1,-1,30.0,6,425.0,1,30.0,1,250.0,3,-1.0,2.0,-1,-1,1,-1,2.0,-1,-1,1,25.0,8,2,795000.0,4.3382092,50.89132900000001,218971.0
223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,326,20587414,2,2,4.0,1.0,5,7,1020,217.0,-1.0,1,1,-1,19.0,1,1,1940.0,2.0,-1.0,-1.0,-1,1,2,-1,-1,-1,17.0,2,121.0,1,27.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,2.0,-1,-1,1,24.0,0,3,379000.0,4.3494758,50.87615359999999,-120022.46875
225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,328,20547316,1,1,2.0,1.0,5,7,1020,110.0,-1.0,-1,1,-1,-1.0,-1,2,1966.0,2.0,3.0,-1.0,1,0,2,-1,-1,-1,16.0,2,-1.0,1,45.0,-1,-1.0,0,1.0,1.0,-1,-1,1,-1,1.0,-1,-1,1,3.0,0,5,239000.0,4.3293989,50.8948468,-114008.390625
252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,359,20369388,2,8,4.0,2.0,5,2,1020,330.0,-1.0,-1,-1,-1,24.0,1,2,1861.0,4.0,2.0,-1.0,-1,0,1,-1,-1,-1,33.0,2,725.0,1,45.0,1,300.0,0,4.0,-1.0,-1,-1,-1,-1,3.0,-1,-1,1,-1.0,0,6,899000.0,4.3522374,50.8821179,177236.3125
253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,360,10687336,2,7,9.0,7.0,5,7,1020,285.0,-1.0,-1,1,-1,40.0,1,3,1912.0,3.0,2.0,5.0,-1,0,1,-1,-1,-1,12.0,3,723.0,1,30.0,1,105.0,0,-1.0,-1.0,-1,-1,1,1,5.0,-1,-1,1,18.0,3,6,900000.0,4.3392564,50.8837443,216222.375
263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,374,20583164,1,6,3.0,1.0,5,7,1020,105.0,-1.0,-1,1,-1,-1.0,-1,2,1973.0,2.0,6.0,-1.0,1,1,1,-1,-1,-1,9.0,2,-1.0,1,32.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,-1,1.0,-1,-1,1,15.0,1,6,229000.0,-1.0,-1.0,-137881.859375
264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,375,20610982,1,4,4.0,2.0,5,7,1020,135.0,-1.0,-1,1,-1,-1.0,-1,0,1918.0,2.0,4.0,-1.0,-1,1,1,-1,-1,-1,9.0,0,-1.0,1,28.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,0,6,299000.0,4.3462782,50.8815979,-131099.0625
268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,379,20467920,2,2,4.0,3.0,5,2,1020,180.0,-1.0,1,-1,-1,22.0,1,1,-1.0,2.0,2.0,6.0,-1,1,1,-1,-1,-1,12.0,2,146.0,1,26.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,-1,4.0,-1,-1,-1,-1.0,0,6,320000.0,4.3535625,50.873751,-356361.46875
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,381,20416027,1,1,3.0,2.0,5,2,1020,130.0,-1.0,-1,1,-1,-1.0,1,4,1956.0,-1.0,3.0,-1.0,-1,0,1,-1,-1,1,-1.0,3,-1.0,1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,3.0,-1,-1,1,8.0,3,5,335000.0,4.3585287,50.8985316,-236687.46875
287,287,287,287,287,287,287,287,287,287,287,287,287,287,287,400,20536978,1,4,3.0,1.0,5,2,1020,105.0,-1.0,-1,1,-1,-1.0,-1,2,1950.0,2.0,3.0,6.0,-1,1,1,-1,-1,-1,-1.0,1,-1.0,1,30.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,-1,2.0,-1,-1,-1,-1.0,0,6,199000.0,4.3424913,50.8792206,-151036.453125
