,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,type,subtype,bedroomCount,bathroomCount,province,locality,postCode,habitableSurface,roomCount,hasAttic,hasBasement,hasDressingRoom,diningRoomSurface,hasDiningRoom,buildingCondition,buildingConstructionYear,facedeCount,floorCount,streetFacadeWidth,hasLift,floodZoneType,heatingType,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,kitchenSurface,kitchenType,landSurface,hasLivingRoom,livingRoomSurface,hasGarden,gardenSurface,gardenOrientation,parkingCountIndoor,parkingCountOutdoor,hasAirConditioning,hasArmoredDoor,hasVisiophone,hasOffice,toiletCount,hasSwimmingPool,hasFireplace,hasTerrace,terraceSurface,terraceOrientation,epcScore,price,longitude,latitude,error_sum
32951,32951,32951,32951,32951,32951,32951,32951,32951,32951,32951,32951,32951,32951,32951,46233,20175482,2,2,3.0,1.0,24,1523,5060,116.0,-1.0,-1,1,-1,14.0,1,0,-1.0,4.0,-1.0,-1.0,-1,1,2,-1,-1,-1,6.0,4,800.0,1,30.0,1,350.0,0,1.0,8.0,-1,-1,-1,-1,2.0,-1,-1,1,-1.0,0,6,165000.0,-1.0,-1.0,-201770.015625
32955,32955,32955,32955,32955,32955,32955,32955,32955,32955,32955,32955,32955,32955,32955,46238,20628107,2,12,3.0,1.0,24,926,5060,300.0,11.0,-1,-1,-1,45.0,1,6,1965.0,4.0,3.0,-1.0,-1,1,2,-1,-1,-1,16.0,6,852.0,1,45.0,1,730.0,2,1.0,1.0,-1,-1,-1,1,2.0,-1,-1,1,12.0,3,0,249999.0,4.6304878,50.4245382,-235858.71875
32971,32971,32971,32971,32971,32971,32971,32971,32971,32971,32971,32971,32971,32971,32971,46258,20517378,2,2,5.0,1.0,24,3050,5060,302.0,-1.0,1,1,-1,-1.0,-1,2,-1.0,3.0,-1.0,13.0,-1,1,1,-1,-1,-1,-1.0,1,2000.0,1,78.0,1,1650.0,6,3.0,6.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1.0,0,2,259900.0,-1.0,-1.0,-183493.234375
32973,32973,32973,32973,32973,32973,32973,32973,32973,32973,32973,32973,32973,32973,32973,46260,20340765,2,2,3.0,2.0,24,3049,5060,240.0,17.0,1,1,1,-1.0,-1,0,-1.0,2.0,-1.0,-1.0,-1,0,0,-1,1,-1,13.0,0,347.0,-1,-1.0,-1,-1.0,0,1.0,-1.0,-1,-1,-1,-1,3.0,-1,-1,-1,-1.0,0,1,259000.0,4.6393678,50.42704510000001,-104010.75
32995,32995,32995,32995,32995,32995,32995,32995,32995,32995,32995,32995,32995,32995,32995,46291,20349033,2,2,5.0,2.0,24,3056,5360,410.0,-1.0,-1,-1,-1,-1.0,-1,0,1975.0,4.0,2.0,40.0,-1,0,6,-1,1,1,-1.0,0,13300.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,1,-1.0,-1,-1,-1,-1.0,0,1,945000.0,5.161104799999999,50.3402263,205270.9375
32996,32996,32996,32996,32996,32996,32996,32996,32996,32996,32996,32996,32996,32996,32996,46293,20349032,2,13,5.0,2.0,24,3056,5360,410.0,-1.0,-1,-1,-1,-1.0,-1,0,1975.0,4.0,2.0,40.0,-1,0,6,-1,1,1,-1.0,0,13300.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,1,-1.0,-1,-1,-1,-1.0,0,1,945000.0,5.161104799999999,50.3402263,131966.0625
32997,32997,32997,32997,32997,32997,32997,32997,32997,32997,32997,32997,32997,32997,32997,46294,20349038,2,20,5.0,2.0,24,3056,5360,410.0,-1.0,-1,-1,-1,-1.0,-1,0,1975.0,4.0,2.0,40.0,-1,0,6,-1,1,1,-1.0,0,13300.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,1,-1.0,-1,-1,-1,-1.0,0,1,945000.0,5.161104799999999,50.3402263,146930.375
32998,32998,32998,32998,32998,32998,32998,32998,32998,32998,32998,32998,32998,32998,32998,46295,20349031,2,8,5.0,2.0,24,3056,5360,410.0,-1.0,-1,-1,-1,-1.0,-1,0,1975.0,4.0,2.0,40.0,-1,0,6,-1,1,1,-1.0,0,13300.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,1,-1.0,-1,-1,-1,-1.0,0,1,945000.0,5.161104799999999,50.3402263,120818.6875
32999,32999,32999,32999,32999,32999,32999,32999,32999,32999,32999,32999,32999,32999,32999,46296,20595273,2,2,7.0,1.0,24,1515,5360,400.0,-1.0,1,-1,1,-1.0,1,5,-1.0,2.0,2.0,-1.0,-1,1,2,-1,1,1,-1.0,6,1101.0,1,-1.0,1,900.0,6,-1.0,-1.0,-1,-1,-1,1,4.0,-1,1,1,20.0,5,1,499000.0,5.0649636,50.33523109999999,165111.625
33004,33004,33004,33004,33004,33004,33004,33004,33004,33004,33004,33004,33004,33004,33004,46307,20632242,2,2,3.0,1.0,24,3058,5372,201.0,-1.0,1,-1,-1,-1.0,-1,1,-1.0,4.0,2.0,-1.0,-1,1,1,-1,-1,-1,24.0,2,5437.0,1,30.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,1,2.0,-1,-1,1,-1.0,0,1,699000.0,-1.0,-1.0,303518.4375
